PartitionKey,RowKey,BackupValue,CurrentValue
tenants:modamautomation5-rc,AllowLocalPageHookExecution,TRUE,true
tenants:modamautomation5-rc,AllowRecordSaveLock,true,
tenants:modamautomation5-rc,AnalyticsDataCaptureEnabled,TRUE,
tenants:modamautomation5-rc,AuditArchive,TRUE,
tenants:modamautomation5-rc,AuditTrailUI,TRUE,
tenants:modamautomation5-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation5-rc,BrandTemplateLicenseFlag,TRUE,false
tenants:modamautomation5-rc,DamUiBulkEditBatchSize,"""20""",10
tenants:modamautomation5-rc,EnableAIContentCoach,TRUE,
tenants:modamautomation5-rc,EnableAIContentItemAgents,true,
tenants:modamautomation5-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation5-rc,EnableAIPredictiveMetadata,TRUE,
tenants:modamautomation5-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation5-rc,EnableAIVisionCaptions,true,
tenants:modamautomation5-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation5-rc,EnableAzureSdkLogging,TRUE,
tenants:modamautomation5-rc,EnableBulkEdit,True,
tenants:modamautomation5-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation5-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation5-rc,EnableContentAutomationHub,true,
tenants:modamautomation5-rc,EnableDidYouMean,true,
tenants:modamautomation5-rc,EnableEnhancedTranscription,True,
tenants:modamautomation5-rc,EnableRecommendationCenter,true,
tenants:modamautomation5-rc,EnableSmartActionReview,true,
tenants:modamautomation5-rc,EnableSmartActions,true,
tenants:modamautomation5-rc,EnableSmartFacets,true,
tenants:modamautomation5-rc,EnableSmartSearch,true,
tenants:modamautomation5-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomation5-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomation5-rc,EnableVideoSummaryGeneration,true,
tenants:modamautomation5-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomation5-rc,ExtendSimpleTextSearch,TRUE,
tenants:modamautomation5-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation5-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation5-rc,PublicCDN,TRUE,
tenants:modamautomation5-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation5-rc,PublishUserEvents,TRUE,
tenants:modamautomation5-rc,SalesforceConnector,TRUE,
tenants:modamautomation5-rc,SimpleTextSearch,TRUE,
